DATA,UNIDADE,PRECO
2020-04-30,arroba,100.61
2020-05-04,arroba,100.61
2020-05-04,arroba,100.61
2020-05-04,arroba,100.61
2020-05-05,arroba,100.61
2020-05-05,arroba,100.61
2020-05-06,arroba,100.61
2020-05-06,arroba,100.61
2020-05-06,arroba,100.61
2020-05-07,arroba,100.61
2020-05-07,arroba,100.61
2020-05-07,arroba,100.61
2020-05-08,arroba,100.61
2020-05-08,arroba,100.61
2020-05-08,arroba,100.61
2020-05-11,arroba,96.36
2020-05-12,arroba,96.36
2020-05-13,arroba,96.36
2020-05-14,arroba,96.36
2020-05-15,arroba,96.36
2020-05-18,arroba,96.36
2020-05-19,arroba,96.36
2020-05-20,arroba,96.36
2020-05-21,arroba,96.36
2020-05-22,arroba,96.36
2020-06-01,arroba,96.36
2020-06-02,arroba,96.36
2020-06-03,arroba,96.36
2020-06-04,arroba,96.36
2020-06-05,arroba,96.36
2020-06-08,arroba,96.36
2020-06-09,arroba,96.36
2020-06-10,arroba,96.36
2020-06-12,arroba,96.36
2020-06-15,arroba,96.36
2020-06-16,arroba,96.36
2020-06-17,arroba,96.36
2020-06-18,arroba,96.36
2020-06-19,arroba,96.36
2020-06-22,arroba,96.36
2020-06-23,arroba,96.36
2020-06-24,arroba,96.36
2020-06-25,arroba,96.36
2020-06-26,arroba,96.36
2020-06-29,arroba,96.36
2020-06-30,arroba,96.36
2020-07-01,arroba,96.36
2020-07-02,arroba,96.36
2020-07-03,arroba,96.36
2020-07-06,arroba,96.36
2020-07-07,arroba,93.47
2020-07-08,arroba,93.47
2020-07-09,arroba,93.47
2020-07-10,arroba,93.47
2020-07-13,arroba,93.47
2020-07-14,arroba,93.47
2020-07-15,arroba,93.47
2020-07-16,arroba,93.47
2020-07-17,arroba,93.47
2020-07-20,arroba,93.47
2020-07-21,arroba,93.47
2020-07-22,arroba,93.47
2020-07-23,arroba,93.47
2020-07-24,arroba,93.47
2020-07-27,arroba,93.47
2020-07-28,arroba,93.47
2020-07-29,arroba,93.47
2020-07-30,arroba,93.47
2020-07-31,arroba,93.47
2020-08-03,arroba,93.47
2020-08-04,arroba,93.47
2020-08-05,arroba,93.47
2020-08-06,arroba,93.47
2020-08-07,arroba,93.47
2020-08-10,arroba,93.47
2020-08-11,arroba,93.47
2020-08-12,arroba,93.47
2020-08-13,arroba,93.47
2020-08-14,arroba,101.97
2020-08-17,arroba,101.97
2020-08-18,arroba,101.97
2020-08-19,arroba,101.97
2020-08-20,arroba,101.97
2020-08-21,arroba,101.97
2020-08-24,arroba,101.97
2020-08-25,arroba,101.97
2020-08-26,arroba,105.37
2020-08-27,arroba,105.37
2020-08-28,arroba,105.37
2020-08-31,arroba,105.37
2020-09-01,arroba,114.69
2020-09-02,arroba,114.69
2020-09-03,arroba,108.77
2020-09-04,arroba,108.77
2020-09-08,arroba,107.92
2020-09-09,arroba,107.92
2020-09-10,arroba,107.92
2020-09-11,arroba,107.92
2020-09-14,arroba,107.92
2020-09-15,arroba,107.92
2020-09-16,arroba,108.67
2020-09-17,arroba,108.67
2020-09-18,arroba,108.67
2020-09-21,arroba,108.67
2020-09-22,arroba,108.67
2020-09-23,arroba,108.67
2020-09-24,arroba,108.67
2020-09-25,arroba,108.67
2020-09-28,arroba,107.92
2020-09-29,arroba,107.92
2020-09-30,arroba,107.92
2020-10-01,arroba,107.92
2020-10-02,arroba,107.92
2020-10-05,arroba,107.92
2020-10-06,arroba,107.92
2020-10-07,arroba,107.92
2020-10-08,arroba,107.92
2020-10-09,arroba,107.07
2020-10-13,arroba,107.07
2020-10-14,arroba,107.07
2020-10-15,arroba,108.07
2020-10-16,arroba,108.07
2020-10-19,arroba,113.02
2020-10-20,arroba,113.02
2020-10-21,arroba,113.02
2020-10-22,arroba,116.42
